,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,251,VERSTAPPEN,251,,L1 (Crash),00:55.0,0.02969296
0,252,VERSTAPPEN,251,,L1 (Crash),00:55.0,0.02969296
0,253,VERSTAPPEN,251,,L1 (Crash),00:55.0,0.02969296
0,254,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,255,VERSTAPPEN,251,,L1 (Crash),00:55.0,0.02969296
0,256,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,257,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,258,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,259,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,260,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,261,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,262,VERSTAPPEN,252,,L1 (Crash),00:55.0,0.02969296
0,263,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,264,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,265,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,266,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,267,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,268,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,269,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,270,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,271,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,272,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,273,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,274,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,275,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,276,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,277,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,278,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,279,VERSTAPPEN,253,,L1 (Crash),00:55.0,0.02969296
0,280,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,281,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,282,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,283,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,284,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,285,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,286,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,287,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,288,VERSTAPPEN,254,,L1 (Crash),00:55.0,0.02969296
0,289,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,290,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,291,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,292,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,293,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,294,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,295,VERSTAPPEN,255,,L1 (Crash),00:55.0,0.02969296
0,296,VERSTAPPEN,256,,L1 (Crash),00:55.0,0.02969296
0,297,VERSTAPPEN,256,,L1 (Crash),00:55.0,0.02969296
0,298,VERSTAPPEN,256,,L1 (Crash),00:55.0,0.02969296
0,299,VERSTAPPEN,257,,L1 (Crash),00:55.0,0.02969296
0,300,VERSTAPPEN,257,,L1 (Crash),00:55.0,0.02969296
0,301,VERSTAPPEN,257,,L1 (Crash),00:55.0,0.02969296
0,302,VERSTAPPEN,258,,L1 (Crash),00:55.0,0.02969296
0,303,VERSTAPPEN,258,,L1 (Crash),00:55.0,0.02969296
0,304,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,305,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,306,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,307,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,308,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,309,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,310,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,311,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,312,VERSTAPPEN,259,,L1 (Crash),00:55.0,0.02969296
0,313,VERSTAPPEN,260,,L1 (Crash),00:55.0,0.02969296
0,314,VERSTAPPEN,261,,L1 (Crash),00:55.0,0.02969296
0,315,VERSTAPPEN,262,,L1 (Crash),00:55.0,0.02969296
0,316,VERSTAPPEN,262,,L1 (Crash),00:55.0,0.02969296
0,317,VERSTAPPEN,262,,L1 (Crash),00:55.0,0.02969296
0,318,VERSTAPPEN,263,,L1 (Crash),00:55.0,0.02969296
0,319,VERSTAPPEN,264,,L1 (Crash),00:55.0,0.02969296
0,320,VERSTAPPEN,264,,L1 (Crash),00:55.0,0.02969296
0,321,VERSTAPPEN,265,,L1 (Crash),00:55.0,0.02969296
0,322,VERSTAPPEN,265,,L1 (Crash),00:55.0,0.02969296
0,323,VERSTAPPEN,266,,L1 (Crash),00:55.0,0.02969296
0,324,VERSTAPPEN,266,,L1 (Crash),00:55.0,0.02969296
0,325,VERSTAPPEN,267,,L1 (Crash),00:55.0,0.02969296
0,326,VERSTAPPEN,267,,L1 (Crash),00:55.0,0.02969296
0,327,VERSTAPPEN,267,,L1 (Crash),00:55.0,0.02969296
0,328,VERSTAPPEN,268,,L1 (Crash),00:55.0,0.02969296
0,329,VERSTAPPEN,268,,L1 (Crash),00:55.0,0.02969296
0,330,VERSTAPPEN,268,,L1 (Crash),00:55.0,0.02969296
0,331,VERSTAPPEN,269,,L1 (Crash),00:55.0,0.02969296
0,332,VERSTAPPEN,269,,L1 (Crash),00:55.0,0.02969296
0,333,VERSTAPPEN,269,,L1 (Crash),00:55.0,0.02969296
0,334,VERSTAPPEN,269,,L1 (Crash),00:55.0,0.02969296
0,335,VERSTAPPEN,269,,L1 (Crash),00:55.0,0.02969296
0,336,VERSTAPPEN,270,,L1 (Crash),00:55.0,0.02969296
0,337,VERSTAPPEN,270,,L1 (Crash),00:55.0,0.02969296
0,338,VERSTAPPEN,270,,L1 (Crash),00:55.0,0.02969296
0,339,VERSTAPPEN,270,,L1 (Crash),00:55.0,0.02969296
0,340,VERSTAPPEN,271,,L1 (Crash),00:55.0,0.02969296
0,341,VERSTAPPEN,271,,L1 (Crash),00:55.0,0.02969296
0,342,VERSTAPPEN,271,,L1 (Crash),00:55.0,0.02969296
0,343,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,344,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,345,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,346,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
